index,date,high,low,open,close,adjust,volume
2452,2019-04-25,92.0,89.4,90.6,89.4,85.7,102270
2453,2019-04-26,89.4,87.4,89.4,88.6,84.93,90340
2454,2019-05-02,82.4,82.4,82.4,82.4,78.99,164290
2455,2019-05-03,76.7,76.7,76.7,76.7,73.52,86250
2456,2019-05-06,76.0,71.4,71.4,72.9,69.88,1977550
2457,2019-05-07,77.0,72.9,73.0,77.0,73.81,855180
2458,2019-05-08,77.5,74.7,77.0,75.0,71.89,518130
2459,2019-05-09,74.5,72.0,73.5,72.8,69.79,1060210
2460,2019-05-10,74.0,72.3,73.0,73.3,70.26,600320
2461,2019-05-13,76.8,73.3,73.3,76.1,72.95,1124890
2462,2019-05-14,78.0,74.8,74.8,77.8,74.58,826240
2463,2019-05-15,79.2,78.0,78.0,79.0,75.73,571120
2464,2019-05-16,79.5,77.8,79.0,78.0,74.77,568210
2465,2019-05-17,79.0,77.9,77.9,78.4,75.15,455930
2466,2019-05-20,78.9,77.9,78.0,78.6,75.34,428580
2467,2019-05-21,79.8,78.7,78.7,79.2,75.92,499050
2468,2019-05-22,79.7,78.1,78.3,78.3,75.06,341030
2469,2019-05-23,78.7,77.9,78.0,78.6,75.34,238050
2470,2019-05-24,78.4,76.0,78.0,77.2,74.0,452390
2471,2019-05-27,77.5,76.3,77.2,76.3,73.14,195810
2472,2019-05-28,77.0,75.3,76.3,76.3,73.14,358150
2473,2019-05-29,77.1,76.0,76.1,77.1,73.91,183860
2474,2019-05-30,77.9,77.0,77.6,77.5,74.29,289570
2475,2019-05-31,77.5,76.3,76.3,76.8,73.62,320170
2476,2019-06-03,77.5,75.0,75.0,77.3,74.1,384090
2477,2019-06-04,77.9,76.9,77.0,77.8,74.58,365360
2478,2019-06-05,78.0,77.7,77.8,77.8,74.58,318460
2479,2019-06-06,77.8,77.1,77.1,77.8,74.58,198810
2480,2019-06-07,78.5,77.6,77.6,78.3,75.06,305770
2481,2019-06-10,79.5,78.6,78.6,79.0,75.73,370010
2482,2019-06-11,79.9,78.3,79.0,79.8,76.5,394630
2483,2019-06-12,80.9,79.0,79.9,80.3,76.97,578310
2484,2019-06-13,80.1,79.4,80.0,80.0,76.69,327690
2485,2019-06-14,80.9,79.6,79.6,80.0,76.69,468440
2486,2019-06-17,80.5,79.0,80.0,80.5,77.17,259530
2487,2019-06-18,80.6,79.5,80.0,80.5,77.17,378680
2488,2019-06-19,80.5,79.5,79.8,79.8,76.5,259520
2489,2019-06-20,80.4,79.5,80.0,80.4,77.07,389260
2490,2019-06-21,80.3,79.5,80.2,79.5,76.21,483210
2491,2019-06-24,80.5,78.5,79.3,80.3,76.97,566940
2492,2019-06-25,80.4,79.9,80.1,80.1,76.78,261160
2493,2019-06-26,80.8,79.5,80.0,80.8,77.45,481930
2494,2019-06-27,81.9,80.6,80.9,80.9,77.55,251800
2495,2019-06-28,81.0,80.3,80.8,80.8,77.45,130010
2496,2019-07-01,81.2,80.3,81.1,81.1,77.74,188730
2497,2019-07-02,81.4,80.8,81.3,81.3,77.93,168710
2498,2019-07-03,82.7,81.0,81.3,82.7,79.28,440630
2499,2019-07-04,83.2,82.2,82.7,82.7,79.28,167950
2500,2019-07-05,83.2,82.0,83.0,82.9,79.47,106450
2501,2019-07-08,83.2,82.5,83.0,82.9,79.47,199930
2502,2019-07-09,83.4,82.8,82.9,83.4,79.95,188400
2503,2019-07-10,84.7,83.3,83.4,84.6,81.1,284930
2504,2019-07-11,84.9,84.6,84.6,84.9,81.38,143890
2505,2019-07-12,85.6,84.9,84.9,84.9,81.38,192430
2506,2019-07-15,85.1,83.0,84.8,84.3,80.81,203750
2507,2019-07-16,86.4,83.5,83.5,86.4,82.82,204330
2508,2019-07-17,88.6,85.7,86.2,88.0,84.36,441090
2509,2019-07-18,87.8,85.8,86.2,85.8,82.25,372910
2510,2019-07-19,85.9,83.9,85.9,84.5,81.0,338310
2511,2019-07-22,85.8,83.6,84.3,85.8,82.25,71060
2512,2019-07-23,86.0,84.2,85.0,84.2,80.71,157410
2513,2019-07-24,85.2,83.9,84.3,85.2,81.67,127290
2514,2019-07-25,85.2,84.2,84.6,84.8,81.29,194320
2515,2019-07-26,85.7,84.6,84.6,85.4,81.86,225070
2516,2019-07-29,85.8,84.5,85.2,85.5,81.96,151520
2517,2019-07-30,85.6,84.7,85.0,85.3,81.77,153390
2518,2019-07-31,85.3,83.9,85.1,84.0,80.52,117780
2519,2019-08-01,85.0,83.6,84.0,84.2,80.71,147320
2520,2019-08-02,84.2,83.0,84.2,83.0,79.56,668720
2521,2019-08-05,83.0,78.2,82.5,78.6,75.34,517830
2522,2019-08-06,78.5,77.0,78.0,77.0,73.81,173600
2523,2019-08-07,78.3,75.1,77.0,75.5,72.37,100880
